Department,Course,Year,Total Grades,"D, F, W Grades",% DFW,Difficulty
ADVRT,336,2012.3333333333333,20.333333333333332,0.7619047619047619,4.190476190476191,1.2857142857142858
ADVRT,390C,2016.0,19.0,3.0,16.0,4.0
ADVRT,390F,2011.0,1.5,1.0,50.0,5.5
ADVRT,390J,2014.6666666666667,2.0,0.3333333333333333,11.0,3.0
ADVRT,434,2010.5,27.633333333333333,0.6666666666666666,2.466666666666667,1.1
ADVRT,435,2004.5,39.5,1.5,3.5,1.0
ADVRT,436,2010.8,15.933333333333334,0.6666666666666666,4.333333333333333,1.4666666666666666
ADVRT,497,2007.2857142857142,18.142857142857142,0.8571428571428571,3.857142857142857,1.4285714285714286
ADVRT,497A,2011.0,15.0,1.0,3.0,1.3333333333333333
ADVRT,497B,2010.5,8.0,0.5,5.5,1.5
ADVRT,497C,2013.0,15.666666666666666,0.3333333333333333,1.3333333333333333,1.0
ADVRT,497D,2012.3333333333333,30.0,0.6666666666666666,1.6666666666666667,1.0
ADVRT,497E,2013.25,18.0,1.5,8.25,1.75
ADVRT,497G,2015.0,17.333333333333332,1.0,6.333333333333333,1.3333333333333333
ADVRT,497J,2016.6666666666667,16.0,1.3333333333333333,9.666666666666666,2.6666666666666665
ADVRT,497K,2015.5,6.0,0.0,0.0,1.0
ADVRT,497L,2017.0,27.0,1.0,3.5,1.0
ADVRT,497M,2016.0,8.0,0.0,0.0,1.0
ADVRT,499A,2016.6666666666667,14.555555555555555,0.3333333333333333,0.6666666666666666,1.0
ADVRT,499B,2017.0,1.0,0.0,0.0,1.0
AER E,101H,2009.0,76.66666666666667,1.0,1.3333333333333333,1.0
AER E,112,2011.6,1.0,0.6,60.0,6.4
AER E,112X,2006.5,1.0,0.0,0.0,1.0
AER E,160,2010.5,81.83333333333333,9.933333333333334,15.7,3.6
AER E,160H,2010.0,58.25,3.375,5.8125,1.4375
AER E,161,2010.5,75.96666666666667,9.666666666666666,14.966666666666667,3.4
AER E,161H,2011.0,43.86666666666667,3.2,6.333333333333333,1.5333333333333334
AER E,202,2004.0,72.75,10.5,17.5,4.0
AER E,202H,2004.5,11.5,1.0,6.5,2.0
AER E,243,2008.0,49.4,7.6,16.85,4.0
AER E,243L,2006.5,42.785714285714285,0.9285714285714286,2.5,1.0714285714285714
AER E,261,2010.5,74.2,8.8,12.0,2.7333333333333334
AER E,265,2008.2142857142858,6.0,0.21428571428571427,3.142857142857143,1.5
AER E,290A,2006.0,26.0,2.5,9.0,2.5
AER E,290B,2007.0,9.0,2.0,22.0,5.0
AER E,290C,2012.0,48.125,2.4166666666666665,2.875,1.1666666666666667
AER E,290X,2004.0,14.5,3.0,10.5,3.0
AER E,294X,2017.0,114.0,11.25,9.75,2.25
AER E,310,2015.8333333333333,74.08333333333333,15.583333333333334,19.666666666666668,4.5
AER E,311,2011.5714285714287,72.42857142857143,6.714285714285714,9.619047619047619,2.1904761904761907
AER E,311L,2006.5,67.875,0.125,0.125,1.0
AER E,312,2004.0,33.0,3.0,9.0,2.0
AER E,321,2011.88,69.0,8.08,14.2,3.24
AER E,321L,2012.4,80.4,5.0,6.0,1.4
AER E,322,2016.0,75.5,5.125,5.75,1.25
AER E,331,2012.0,76.5,12.85,19.35,4.2
AER E,343,2007.0,81.14285714285714,5.714285714285714,6.857142857142857,1.4285714285714286
AER E,343L,2007.0,79.28571428571429,1.2857142857142858,1.7142857142857142,1.1428571428571428
AER E,344,2015.0,67.16666666666667,1.3333333333333333,1.75,1.0
AER E,344X,2011.0,52.0,3.0,6.0,1.0
AER E,351,2011.4,66.84,13.32,21.28,4.92
AER E,351H,2009.0,13.0,2.0,15.0,3.3333333333333335
AER E,355,2011.5714285714287,80.0,10.80952380952381,13.523809523809524,3.0476190476190474
AER E,361,2010.5,52.93333333333333,6.666666666666667,13.766666666666667,3.1666666666666665
AER E,362,2017.3333333333333,68.0,5.333333333333333,7.666666666666667,1.6666666666666667
AER E,365X,2007.5,5.0,1.5,29.0,6.5
AER E,371X,2012.0,5.0,0.0,0.0,1.0
AER E,381,2014.1666666666667,23.833333333333332,2.8333333333333335,10.333333333333334,2.6666666666666665
AER E,381X,2010.5,49.0,9.0,18.0,4.0
AER E,407X,2017.0,1.0,0.0,0.0,1.0
AER E,411,2012.0,66.85,2.95,4.05,1.1
AER E,412,2010.7,23.0,1.1,4.9,1.6
AER E,417,2014.5,5.0,1.0,21.0,5.0
AER E,421,2012.0,73.8,8.5,11.45,2.6
AER E,422,2007.0,9.571428571428571,2.5714285714285716,26.714285714285715,6.142857142857143
AER E,423,2010.4,36.4,1.6,4.4,1.2666666666666666
AER E,426,2010.8333333333333,24.583333333333332,1.5833333333333333,5.916666666666667,1.6666666666666667
AER E,429X,2017.5,9.5,0.0,0.0,1.0
AER E,432,2012.75,12.0,1.25,11.25,2.75
AER E,433X,2012.75,10.5,2.0,19.5,4.75
AER E,442,2011.7777777777778,27.444444444444443,3.3333333333333335,13.444444444444445,2.888888888888889
AER E,446,2010.0,22.533333333333335,5.133333333333334,22.0,5.2
AER E,448,2012.8,15.6,3.0,21.2,4.8
AER E,451,2010.1923076923076,16.115384615384617,1.6538461538461537,11.807692307692308,2.923076923076923
AER E,452X,2017.5,3.0,0.5,50.0,5.5
AER E,455X,2006.0,11.666666666666666,0.0,0.0,1.0
AER E,461,2010.5,46.4,0.9,2.0,1.1
AER E,462,2010.5,43.733333333333334,0.3,0.7666666666666667,1.0
AER E,463,2017.5,11.5,0.5,4.5,1.5
AER E,463X,2014.5,12.5,1.25,7.25,2.5
AER E,464,2011.2857142857142,19.071428571428573,1.1428571428571428,6.357142857142857,2.0
AER E,466,2012.2857142857142,4.214285714285714,0.35714285714285715,17.785714285714285,2.857142857142857
AER E,467X,2010.0,4.0,0.0,0.0,1.0
AER E,468,2016.0,40.0,3.0,8.0,2.0
AER E,468X,2014.0,20.666666666666668,0.6666666666666666,3.3333333333333335,1.0
AER E,471X,2016.0,14.0,1.0,7.0,1.0
AER E,480,2017.0,5.333333333333333,0.3333333333333333,4.666666666666667,1.6666666666666667
AER E,481,2012.0,9.0,1.0,11.0,2.0
AER E,481X,2010.0,13.0,0.0,0.0,1.0
AER E,483X,2015.0,4.5,1.0,22.5,5.5
AER E,486X,2008.0,7.0,1.0,14.0,3.0
AER E,487X,2009.0,4.0,0.0,0.0,1.0
AER E,490A,2011.0,5.923076923076923,0.2692307692307692,7.8076923076923075,2.0384615384615383
AER E,490B,2014.0,2.3846153846153846,0.07692307692307693,3.8461538461538463,1.6923076923076923
AER E,490C,2010.6896551724137,5.586206896551724,0.13793103448275862,1.6896551724137931,1.2758620689655173
AER E,490D,2010.1,1.0,0.1,10.0,1.9
AER E,490E,2011.8,41.52,1.08,5.0,1.36
AER E,490F,2009.625,1.3125,0.0,0.0,1.0
AER E,490G,2016.5,1.0,0.0,0.0,1.0
AER E,490H,2009.9166666666667,1.625,0.0,0.0,1.0
AER E,490I,2011.0833333333333,5.0,0.0,0.0,1.0
AER E,490J,2010.9655172413793,3.1724137931034484,0.10344827586206896,2.896551724137931,1.5172413793103448
AER E,490K,2010.5,1.0,0.0,0.0,1.0
AER E,490L,2008.0,2.0,0.0,0.0,1.0
AER E,490M,2004.3333333333333,14.0,0.0,0.0,1.0
AER E,490O,2012.9565217391305,14.478260869565217,0.4782608695652174,1.8695652173913044,1.0434782608695652
AER E,494X,2017.0,141.25,3.25,2.25,1.0
AER E,499,2007.111111111111,2.3333333333333335,0.6666666666666666,33.333333333333336,4.666666666666667
AESHM,102X,2007.0,29.0,0.0,0.0,1.0
AESHM,111,2011.0,154.75,16.75,11.625,2.5
AESHM,111X,2008.5,128.0,11.0,9.0,2.0
AESHM,112,2015.7142857142858,150.71428571428572,9.428571428571429,7.428571428571429,1.8571428571428572
AESHM,112X,2013.5,151.0,14.5,11.0,2.5
AESHM,113,2015.0,201.5,17.5,9.25,1.75
AESHM,113E,2016.6666666666667,87.33333333333333,14.666666666666666,13.333333333333334,3.0
AESHM,113N,2016.6666666666667,100.0,7.0,9.666666666666666,2.3333333333333335
AESHM,113X,2013.5,179.5,15.0,10.0,2.0
AESHM,170D,2014.6666666666667,14.666666666666666,1.1904761904761905,9.80952380952381,2.4285714285714284
AESHM,170F,2014.6666666666667,8.238095238095237,0.38095238095238093,2.761904761904762,1.2857142857142858
AESHM,170N,2014.3846153846155,5.538461538461538,0.07692307692307693,0.3076923076923077,1.0
AESHM,170P,2014.7142857142858,5.428571428571429,0.5714285714285714,8.142857142857142,2.5714285714285716
AESHM,175D,2016.0,153.6,3.8,2.6,1.0
AESHM,175N,2016.0,63.2,1.8,2.6,1.0
AESHM,175X,2011.0,35.25,1.5,11.0,2.75
AESHM,180E,2017.0,16.0,0.0,0.0,1.0
AESHM,211,2016.5,69.75,1.5,2.0,1.0
AESHM,211X,2013.5,54.5,4.0,7.5,2.0
AESHM,213X,2017.5,99.5,12.0,11.5,2.5
AESHM,222,2016.2857142857142,58.285714285714285,3.5714285714285716,7.0,1.7142857142857142
AESHM,222X,2013.0,53.666666666666664,3.6666666666666665,7.333333333333333,1.6666666666666667
AESHM,270D,2014.85,13.0,2.1,18.55,4.25
AESHM,270F,2014.8666666666666,2.466666666666667,0.4,12.066666666666666,3.3333333333333335
AESHM,270N,2014.5454545454545,2.090909090909091,0.09090909090909091,9.090909090909092,1.8181818181818181
AESHM,270P,2014.5,4.0,0.5,7.25,2.5
AESHM,271,2010.1666666666667,67.5,3.9166666666666665,5.083333333333333,1.3333333333333333
AESHM,272,2016.0,115.375,4.375,3.75,1.0
AESHM,272X,2013.5,74.5,2.0,2.5,1.0
AESHM,275,2012.3333333333333,100.8,3.8666666666666667,4.2,1.2
