College,Major,Class,Difficulty
CALS,Agricultural and Life Sciences Education- B.S - teacher certification option,SP ED 401,1.0
CALS,Agricultural and Life Sciences Education- B.S - teacher certification option,ENGL 150,2.1818181818181817
CALS,Agricultural and Life Sciences Education- B.S - teacher certification option,ENGL 250,2.333333333333333
CALS,Agricultural and Life Sciences Education- B.S - teacher certification option,AGEDS 311,1.475
CALS,Agricultural and Life Sciences Education- B.S - teacher certification option,LIB 160,2.565217391304348
CALS,Agricultural and Life Sciences Education- B.S - teacher certification option,AGEDS 327,1.6
CALS,Agricultural and Life Sciences Education- B.S - teacher certification option,ECON 101,5.543478260869565
CALS,Agricultural and Life Sciences Education- B.S - teacher certification option,CHEM 163,5.5588235294117645
CALS,Agricultural and Life Sciences Education- B.S - teacher certification option,MATH 104,6.769230769230768
CALS,Agricultural and Life Sciences Education- B.S - teacher certification option,BIOL 211,6.2564102564102555
CALS,Agricultural and Life Sciences Education- B.S - teacher certification option,BIOL 212,4.428571428571429
CALS,Agricultural and Life Sciences Education- B.S - teacher certification option,STAT 101,4.608695652173913
CALS,Agricultural and Life Sciences Education- B.S - teacher certification option,AGEDS 110A,1.0
CALS,Agricultural and Life Sciences Education- B.S - teacher certification option,AGEDS 211,0
CALS,Agricultural and Life Sciences Education- B.S - teacher certification option,AGEDS 215,1.1333333333333333
CALS,Agricultural and Life Sciences Education- B.S - teacher certification option,AGEDS 315,1.6216216216216215
CALS,Agricultural and Life Sciences Education- B.S - teacher certification option,AGEDS 412,1.9545454545454544
CALS,Agricultural and Life Sciences Education- B.S - teacher certification option,AGEDS 211,0
CALS,Agricultural and Life Sciences Education- B.S - teacher certification option,AGEDS 310,1.3333333333333333
CALS,Agricultural and Life Sciences Education- B.S - teacher certification option,AGEDS 311,1.475
CALS,Agricultural and Life Sciences Education- B.S - teacher certification option,AGEDS 312,1.2
CALS,Agricultural and Life Sciences Education- B.S - teacher certification option,AGEDS 315,1.6216216216216215
CALS,Agricultural and Life Sciences Education- B.S - teacher certification option,AGEDS 412,1.9545454545454544
CALS,Agricultural and Life Sciences Education- B.S - teacher certification option,AGEDS 388,1.0
CALS,Agricultural and Life Sciences Education- B.S - teacher certification option,AGEDS 414,1.0
CALS,Agricultural and Life Sciences Education- B.S - teacher certification option,AGEDS 450,1.0
CALS,Agricultural and Life Sciences Education- B.S - teacher certification option,AGEDS 451,2.636363636363636
CALS,Agricultural and Life Sciences Education- B.S - teacher certification option,AGEDS 461,2.0
CALS,Agricultural and Life Sciences Education- B.S - teacher certification option,AGEDS 488,1.1176470588235294
CALS,Agricultural and Life Sciences Education- B.S - teacher certification option,AGEDS 490,0
CALS,Agricultural and Life Sciences Education- B.S - teacher certification option,AGEDS 496,1.0
CALS,Agricultural and Life Sciences Education- B.S - teacher certification option,AGEDS 499,1.0
CALS,Agricultural and Life Sciences Education- B.S - teacher certification option,AGEDS 327,1.6
CALS,Agricultural and Life Sciences Education- B.S - teacher certification option,AGEDS 402,1.0
CALS,Agricultural and Life Sciences Education- B.S - teacher certification option,AGEDS 110,0
CALS,Agricultural and Life Sciences Education- B.S - teacher certification option,BIOL 212,4.428571428571429
CALS,Agricultural and Life Sciences Education- B.S - teacher certification option,BIOL 211,6.2564102564102555
CALS,Agricultural and Life Sciences Education- B.S - teacher certification option,ENGL 150,2.1818181818181817
CALS,Agricultural and Life Sciences Education- B.S - teacher certification option,LIB 160,2.565217391304348
CALS,Agricultural and Life Sciences Education- B.S - teacher certification option,CHEM 163 ,5.5588235294117645
CALS,Agricultural and Life Sciences Education- B.S - teacher certification option,STAT 104,5.195652173913044
CALS,Agricultural and Life Sciences Education- B.S - teacher certification option,AGEDS 211,0
CALS,Agricultural and Life Sciences Education- B.S - teacher certification option,ENGL 302,1.1304347826086956
CALS,Agricultural and Life Sciences Education- B.S - teacher certification option,AGEDS 315,1.6216216216216215
CALS,Agricultural and Life Sciences Education- B.S - teacher certification option,AGEDS 412,1.9545454545454544
CALS,Agricultural and Life Sciences Education- B.S - teacher certification option,AGEDS 110A,1.0
CALS,Agricultural and Life Sciences Education- B.S - teacher certification option,C I 202,1.84
CALS,Agricultural and Life Sciences Education- B.S - teacher certification option,AN S 114,3.7
CALS,Agricultural and Life Sciences Education- B.S - teacher certification option,ENGL 250,2.333333333333333
CALS,Agricultural and Life Sciences Education- B.S - teacher certification option,AN S 101,1.7142857142857142
CALS,Agricultural and Life Sciences Education- B.S - teacher certification option,ECON 101,5.543478260869565
CALS,Agricultural and Life Sciences Education- B.S - teacher certification option,ENGL 150,2.1818181818181817
CALS,Agricultural and Life Sciences Education- B.S - teacher certification option,LIB 160,2.565217391304348
CALS,Agricultural and Life Sciences Education- B.S - teacher certification option,C I 204,1.45
CALS,Agricultural and Life Sciences Education- B.S - teacher certification option,NREM 120,3.8285714285714287
CALS,Agricultural and Life Sciences Education- B.S - teacher certification option,STAT 104,5.195652173913044
CALS,Agricultural and Life Sciences Education- B.S - teacher certification option,ACCT 284,3.934782608695652
CALS,Agricultural and Life Sciences Education- B.S - teacher certification option,AGEDS 310,1.3333333333333333
CALS,Agricultural and Life Sciences Education- B.S - teacher certification option,AGEDS 211,0
CALS,Agricultural and Life Sciences Education- B.S - teacher certification option,ECON 230,1.6666666666666667
CALS,Agricultural and Life Sciences Education- B.S - teacher certification option,C I 333,1.96875
CALS,Agricultural and Life Sciences Education- B.S - teacher certification option,AGEDS 311,1.475
CALS,Agricultural and Life Sciences Education- B.S - teacher certification option,AGEDS 315,1.6216216216216215
CALS,Agricultural and Life Sciences Education- B.S - teacher certification option,AGEDS 488,1.1176470588235294
CALS,Agricultural and Life Sciences Education- B.S - teacher certification option,AGRON 182,3.6666666666666665
CALS,Agricultural and Life Sciences Education- B.S - teacher certification option,AGEDS 401,1.1333333333333333
CALS,Agricultural and Life Sciences Education- B.S - teacher certification option,AGEDS 416,1.3703703703703705
CALS,Agricultural and Life Sciences Education- B.S - teacher certification option,AGEDS 402,1.0
CALS,Agricultural and Life Sciences Education- B.S - teacher certification option,AGEDS 417,1.0
CALS,Agricultural and Life Sciences Education- B.S - teacher certification option,C I 406,1.0434782608695652
CALS,Agricultural and Life Sciences Education- B.S - teacher certification option,SP ED 401,1.0
CALS,Agricultural Biochemistry- B.S. - option 1,BBMB 101,1.8666666666666667
CALS,Agricultural Biochemistry- B.S. - option 1,BBMB 102,2.0
CALS,Agricultural Biochemistry- B.S. - option 1,BBMB 201,1.4545454545454546
CALS,Agricultural Biochemistry- B.S. - option 1,BBMB 404,3.2790697674418605
CALS,Agricultural Biochemistry- B.S. - option 1,BBMB 504,0
CALS,Agricultural Biochemistry- B.S. - option 1,BBMB 505,0
CALS,Agricultural Biochemistry- B.S. - option 1,BBMB 405,4.090909090909091
CALS,Agricultural Biochemistry- B.S. - option 1,BBMB 506,0
CALS,Agricultural Biochemistry- B.S. - option 1,BBMB 507,0
CALS,Agricultural Biochemistry- B.S. - option 1,BBMB 411,1.6666666666666667
CALS,Agricultural Biochemistry- B.S. - option 1,BBMB 461,1.4
CALS,Agricultural Biochemistry- B.S. - option 1,BBMB 490,1.36
CALS,Agricultural Biochemistry- B.S. - option 1,BBMB 499,1.4888888888888892
CALS,Agricultural Biochemistry- B.S. - option 1,CHEM 201,4.181818181818182
CALS,Agricultural Biochemistry- B.S. - option 1,CHEM 324,5.2105263157894735
CALS,Agricultural Biochemistry- B.S. - option 1,CHEM 325,3.2307692307692313
CALS,Agricultural Biochemistry- B.S. - option 1,CHEM 331,6.289473684210527
CALS,Agricultural Biochemistry- B.S. - option 1,MATH 165,7.826086956521738
CALS,Agricultural Biochemistry- B.S. - option 1,MATH 166,6.586956521739131
CALS,Agricultural Biochemistry- B.S. - option 1,MATH 265,5.239130434782608
CALS,Agricultural Biochemistry- B.S. - option 1,PHYS 221,7.304347826086956
CALS,Agricultural Biochemistry- B.S. - option 1,BIOL 211,6.2564102564102555
CALS,Agricultural Biochemistry- B.S. - option 1,BIOL 313,5.205128205128204
CALS,Agricultural Biochemistry- B.S. - option 1,BIOL 314,3.5769230769230766
CALS,Agricultural Biochemistry- B.S. - option 1,LIB 160,2.565217391304348
CALS,Agricultural Biochemistry- B.S. - option 1,ENGL 150,2.1818181818181817
