Year,Class,Total Grades,"D, F, W Grades",% DFW
2003,ARTIS 326,10.0,0.0,0.0
2003,ARTIS 329,17.5,1.0,10.0
2003,ARTIS 330,49.0,9.0,18.0
2003,ARTIS 331X,5.0,0.0,0.0
2003,ARTIS 335,8.0,3.0,38.0
2003,ARTIS 336,2.0,0.0,0.0
2003,ARTIS 338,12.5,0.5,3.0
2003,ARTIS 345,15.0,2.0,13.0
2003,ARTIS 346,13.0,1.0,8.0
2003,ARTIS 356,14.0,0.0,0.0
2003,ARTIS 357,10.0,3.0,30.0
2003,ARTIS 358,12.0,2.0,17.0
2003,ARTIS 408,19.0,2.0,11.0
2003,ARTIS 420,3.0,1.0,33.0
2003,ARTIS 422,7.0,0.0,0.0
2003,ARTIS 424,6.0,0.0,0.0
2003,ARTIS 430,11.0,0.0,0.0
2003,ARTIS 438,7.0,1.5,12.5
2003,ARTIS 490B,2.0,0.0,0.0
2003,ARTIS 490C,11.0,0.0,0.0
2003,ARTIS 490D,6.0,1.5,13.5
2003,ARTIS 490E,4.0,0.0,0.0
2003,ARTIS 490F,3.0,0.0,0.0
2003,ARTIS 490G,2.0,0.0,0.0
2003,ARTIS 490I,53.0,4.0,8.0
2003,ARTIS 490J,6.0,0.0,0.0
2003,ARTIS 490K,3.0,0.0,0.0
2003,ARTIS 490L,2.5,0.0,0.0
2003,ARTIS 490M,1.0,0.5,50.0
2003,ARTIS 493D,12.0,0.0,0.0
2003,ARTIS 493G,8.0,0.0,0.0
2003,ARTIS 493I,3.0,0.0,0.0
2003,AST 110,24.0,3.0,13.0
2003,AST 115,59.0,6.0,10.0
2003,AST 120,25.0,2.5,5.0
2003,AST 210,57.0,2.0,4.0
2003,AST 215,8.0,0.0,0.0
2003,AST 297,8.0,0.0,0.0
2003,AST 331X,10.0,0.0,0.0
2003,AST 333,21.0,1.0,5.0
2003,AST 335,19.0,1.0,5.0
2003,AST 358,21.0,2.0,10.0
2003,AST 360,33.0,4.0,12.0
2003,AST 373,38.0,1.0,3.0
2003,AST 403,22.0,2.0,9.0
2003,AST 425,24.0,0.0,0.0
2003,AST 435,17.0,0.0,0.0
2003,AST 490G,1.0,0.0,0.0
2003,AST 490M,1.0,0.0,0.0
2003,AST 490S,1.0,0.0,0.0
2003,AST 493J,4.0,0.0,0.0
2003,AST 493L,3.0,0.0,0.0
2003,AST 496,9.0,0.0,0.0
2003,ASTRO 102X,14.0,3.0,21.0
2003,ASTRO 103X,4.0,0.0,0.0
2003,ASTRO 120,203.0,31.0,18.0
2003,ASTRO 125L,54.0,16.0,30.0
2003,ASTRO 150,132.0,33.0,25.0
2003,ASTRO 342,24.0,3.0,13.0
2003,ASTRO 344L,33.0,2.0,6.0
2003,ASTRO 405,6.0,0.0,0.0
2003,ATH 101D,15.0,2.0,13.0
2003,ATH 101E,15.0,0.0,0.0
2003,ATH 101F,91.0,5.0,5.0
2003,ATH 101R,15.0,0.0,0.0
2003,ATH 101U,18.0,1.0,6.0
2003,B M S 490,1.0,0.0,0.0
2003,BBMB 101,44.0,4.0,9.0
2003,BBMB 221,55.0,7.0,13.0
2003,BBMB 301,59.0,13.5,18.5
2003,BBMB 311,12.0,1.0,8.0
2003,BBMB 404,90.0,11.0,12.0
2003,BBMB 405,3.0,1.0,33.0
2003,BBMB 411,16.0,1.0,6.0
2003,BBMB 420,13.0,3.0,23.0
2003,BBMB 490,1.5,0.0,0.0
2003,BBMB 499,6.5,0.0,0.0
2003,BIOL 102,109.0,0.0,0.0
2003,BIOL 109,207.5,59.0,26.5
2003,BIOL 123,88.0,28.0,28.5
2003,BIOL 201,914.0,244.0,27.0
2003,BIOL 201L,700.0,149.0,21.0
2003,BIOL 202,293.0,73.0,25.0
2003,BIOL 202L,197.0,26.0,13.0
2003,BIOL 301,134.0,31.5,22.5
2003,BIOL 301L,166.0,17.0,10.0
2003,BIOL 302,97.0,24.0,25.0
2003,BIOL 302L,57.0,9.0,16.0
2003,BIOL 303,86.0,10.0,12.0
2003,BIOL 312,72.0,9.5,13.5
2003,BIOL 393A,7.0,0.0,0.0
2003,BIOL 394B,20.0,0.0,0.0
2003,BIOL 490R,6.5,0.5,10.0
2003,BIOL 490U,10.0,0.0,0.0
2003,BIOL 494,4.0,0.0,0.0
2003,BIOL 495,5.0,0.0,0.0
2003,BOT 202,62.5,3.5,3.5
2003,BOT 308,11.0,2.0,18.0
2003,BOT 312,2.0,0.0,0.0
2003,BOT 330,4.0,1.0,25.0
2003,BOT 356,42.0,1.0,2.0
2003,BOT 404,11.0,1.0,9.0
2003,BOT 490B,1.0,0.0,0.0
2003,BOT 490F,1.0,0.0,0.0
2003,BPM I 326,10.0,0.0,0.0
2003,BPM I 336,12.0,2.0,17.0
2003,BPM I 490,5.0,1.0,20.0
2003,BPM I 494,14.0,1.0,7.0
2003,BPM I 497,4.0,0.0,0.0
2003,BUSAD 101,757.0,95.0,13.0
2003,BUSAD 101H,17.0,0.0,0.0
2003,BUSAD 392,22.0,2.0,9.0
2003,BUSAD 392X,7.0,0.0,0.0
2003,BUSAD 490H,9.0,0.0,0.0
2003,BUSAD 491A,14.5,0.5,3.0
2003,BUSAD 491B,13.0,1.0,8.0
2003,C E 104,62.0,3.0,5.0
2003,C E 111,99.0,4.0,4.0
2003,C E 160,56.0,2.0,4.0
2003,C E 170,48.0,2.0,4.0
2003,C E 203,74.0,12.0,16.0
2003,C E 204,46.0,4.0,9.0
2003,C E 303,55.0,1.0,2.0
2003,C E 304,33.0,1.0,3.0
2003,C E 326,49.0,2.0,4.0
2003,C E 332,83.0,22.0,27.0
2003,C E 333,41.0,10.5,22.0
2003,C E 334,49.0,11.0,19.0
2003,C E 355,45.0,5.0,11.0
2003,C E 360,70.0,0.0,0.0
2003,C E 372,47.0,3.0,6.0
2003,C E 382,42.0,1.0,2.0
2003,C E 383,25.0,0.0,0.0
2003,C E 420,6.0,0.0,0.0
2003,C E 421,5.0,0.0,0.0
2003,C E 453,34.0,0.0,0.0
2003,C E 485,43.0,0.0,0.0
2003,C E 486,30.0,0.0,0.0
2003,C E 490,4.0,0.0,0.0
2003,C I 201,146.0,27.5,13.0
2003,C I 204,155.5,10.5,6.0
2003,C I 245,52.0,0.5,1.0
2003,C I 250,256.0,19.0,7.0
2003,C I 268,52.0,0.5,1.0
2003,C I 280A,48.0,10.0,21.0
2003,C I 280B,4.0,0.0,0.0
2003,C I 280I,15.0,0.0,0.0
2003,C I 280L,26.0,2.0,8.0
2003,C I 280M,5.0,0.5,7.0
2003,C I 281,3.0,0.0,0.0
2003,C I 290,4.0,0.0,0.0
2003,C I 302,11.0,2.0,18.0
2003,C I 332,61.0,4.0,7.0
2003,C I 333,47.0,1.5,2.5
2003,C I 347,12.0,1.0,8.0
2003,C I 377,78.0,1.0,0.5
2003,C I 378,38.5,0.0,0.0
2003,C I 395,27.0,2.0,7.0
2003,C I 403,10.0,1.0,10.0
2003,C I 406,130.5,5.5,3.5
2003,C I 407,11.0,1.0,9.0
2003,C I 408X,16.0,0.0,0.0
2003,C I 416A,79.0,0.0,0.0
2003,C I 416B,60.0,0.0,0.0
2003,C I 416C,1.0,0.0,0.0
2003,C I 416D,4.0,0.0,0.0
2003,C I 416E,4.0,0.0,0.0
2003,C I 417A,8.0,0.0,0.0
2003,C I 417B,1.0,1.0,100.0
2003,C I 417C,4.0,0.0,0.0
2003,C I 417D,4.0,0.0,0.0
2003,C I 417E,1.0,0.0,0.0
2003,C I 417G,1.0,0.0,0.0
2003,C I 417J,1.0,0.0,0.0
2003,C I 417K,2.0,0.0,0.0
2003,C I 417L,2.0,0.0,0.0
2003,C I 417N,2.0,0.0,0.0
2003,C I 418,8.0,0.0,0.0
2003,C I 426,47.5,1.5,3.0
2003,C I 433,19.0,0.0,0.0
2003,C I 438,19.0,0.0,0.0
2003,C I 439,19.0,0.0,0.0
2003,C I 443,63.0,0.5,1.0
2003,C I 448,58.0,0.5,0.5
2003,C I 449,36.0,0.0,0.0
2003,C I 456,15.0,0.0,0.0
2003,C I 457,9.0,0.0,0.0
2003,C I 468A,56.5,0.0,0.0
2003,C I 468B,38.0,1.0,2.0
2003,C I 468C,57.0,0.0,0.0
2003,C I 468D,36.0,1.0,2.0
2003,C I 468E,5.0,0.0,0.0
2003,C I 468F,43.0,0.0,0.0
2003,C I 468G,19.0,0.0,0.0
2003,C I 468I,19.0,0.0,0.0
2003,C I 468J,8.0,0.0,0.0
2003,C I 478,17.0,0.0,0.0
2003,C I 480A,25.0,1.0,4.0
2003,C I 480C,9.0,1.0,11.0
2003,C I 480K,16.0,1.0,6.0
2003,C I 488,7.0,0.0,0.0
2003,C I 490H,1.0,0.0,0.0
2003,C I 490L,1.0,0.0,0.0
2003,C I 491,36.0,0.0,0.0
2003,C I 493,22.0,0.0,0.0
2003,C I 497,6.0,0.0,0.0
2003,C R P 253,106.0,23.0,22.0
2003,C R P 274,32.0,3.0,9.0
2003,C R P 291,23.0,7.0,30.0
2003,C R P 293,33.0,1.0,3.0
2003,C R P 330,3.0,0.0,0.0
2003,C R P 365,27.0,4.0,15.0
2003,C R P 376,5.0,2.0,40.0
2003,C R P 415,12.0,0.0,0.0
2003,C R P 416,14.0,1.0,7.0
2003,C R P 425,20.0,5.0,25.0
2003,C R P 432,8.0,1.0,13.0
2003,C R P 445,8.0,0.0,0.0
2003,C R P 451,6.0,0.0,0.0
2003,C R P 452,7.0,0.0,0.0
2003,C R P 475A,12.0,0.0,0.0
2003,C R P 475B,11.0,0.0,0.0
2003,C R P 475C,13.0,0.0,0.0
2003,C R P 492,17.0,1.0,6.0
2003,CH E 210,72.0,10.0,14.0
2003,CH E 325,27.0,0.0,0.0
2003,CH E 356,20.0,5.0,25.0
2003,CH E 357,44.0,7.0,16.0
2003,CH E 358,25.0,1.0,4.0
2003,CH E 381,44.0,3.0,7.0
2003,CH E 382,21.0,2.0,10.0
2003,CH E 392,32.0,0.0,0.0
2003,CH E 406,24.0,0.0,0.0
2003,CH E 421,35.0,0.0,0.0
2003,CH E 426,14.0,0.0,0.0
2003,CH E 430,30.0,0.0,0.0
2003,CH E 490,10.5,0.5,3.0
2003,CH E 499,3.0,0.0,0.0
2003,CHEM 105,91.0,13.0,14.0
2003,CHEM 155,339.0,70.0,21.0
2003,CHEM 163,326.0,97.0,30.0
2003,CHEM 163L,320.0,47.0,15.0
2003,CHEM 167,534.0,145.0,27.0
2003,CHEM 167L,191.0,37.0,19.0
2003,CHEM 177,364.0,79.0,20.0
2003,CHEM 177L,356.0,66.5,21.5
2003,CHEM 177M,41.0,7.0,17.0
2003,CHEM 177N,39.0,7.0,18.0
2003,CHEM 178,193.0,93.0,48.0
2003,CHEM 178L,114.0,29.0,25.0
2003,CHEM 211,32.0,3.0,9.0
2003,CHEM 211L,31.0,1.0,3.0
2003,CHEM 231,94.5,22.0,21.0
2003,CHEM 231L,88.0,6.5,6.5
2003,CHEM 299,1.0,0.0,0.0
2003,CHEM 316,16.0,2.0,13.0
2003,CHEM 316L,15.0,4.0,27.0
2003,CHEM 321,56.0,9.0,16.0
2003,CHEM 331,369.0,73.0,20.0
2003,CHEM 331L,243.0,14.0,6.0
2003,CHEM 332,128.0,44.0,34.0
2003,CHEM 332L,40.0,3.0,8.0
2003,CHEM 333L,27.0,1.0,4.0
2003,CHEM 399,7.0,0.5,4.0
2003,CHEM 401L,15.0,0.0,0.0
2003,CHEM 402,19.0,3.0,16.0
2003,CHEM 499,2.0,0.0,0.0
2003,CHIN 101,46.0,6.0,13.0
2003,CHIN 201,8.0,0.0,0.0
2003,CHIN 205X,11.0,1.0,9.0
2003,CHIN 370,23.0,2.0,9.0
2003,CHIN 490,2.0,0.0,0.0
2003,CJ ST 240,163.0,9.0,6.0
2003,CJ ST 241,81.0,3.0,4.0
2003,CJ ST 332,6.0,0.0,0.0
2003,CJ ST 340,7.5,0.5,4.5
2003,CJ ST 341,14.0,0.0,0.0
2003,CJ ST 460,17.5,0.0,0.0
2003,CL ST 273,194.0,52.5,19.5
2003,CL ST 310,2.0,0.0,0.0
2003,CL ST 353,16.0,2.0,13.0
2003,CL ST 367,1.0,0.0,0.0
2003,CL ST 373,34.0,5.0,15.0
2003,CL ST 376A,21.0,4.0,19.0
2003,CL ST 395,8.0,0.0,0.0
2003,CL ST 404,5.0,0.0,0.0
2003,CMDIS 286,28.0,4.5,15.0
2003,CMDIS 471,17.0,3.0,18.0
2003,COM S 103,498.0,35.0,8.0
2003,COM S 104,162.0,59.0,36.0
2003,COM S 107,40.0,14.0,35.0
2003,COM S 201,108.0,26.0,24.0
2003,COM S 207,122.0,33.0,22.0
2003,COM S 208,8.0,4.0,50.0
2003,COM S 227,223.0,129.0,58.0
2003,COM S 228,109.5,50.5,41.0
