,major, class
2311,Animal Science- B.S. - pre-veterinary medicine,ENT 374
2312,Animal Science- B.S. - pre-veterinary medicine,MICRO 310
2313,Animal Science- B.S. - pre-veterinary medicine,VDPAM 487
2314,Animal Science- B.S. - pre-veterinary medicine,AN S 415
2315,Animal Science- B.S. - pre-veterinary medicine,AN S 424
2316,Animal Science- B.S. - pre-veterinary medicine,AN S 425
2317,Animal Science- B.S. - pre-veterinary medicine,AN S 426
2318,Animal Science- B.S. - pre-veterinary medicine,AN S 429
2319,Animal Science- B.S. - pre-veterinary medicine,AN S 434
2320,Animal Science- B.S. - pre-veterinary medicine,AN S 415
2321,Animal Science- B.S. - pre-veterinary medicine,AN S 419
2322,Animal Science- B.S. - pre-veterinary medicine,AN S 424
2323,Animal Science- B.S. - pre-veterinary medicine,AN S 425
2324,Animal Science- B.S. - pre-veterinary medicine,AN S 426
2325,Animal Science- B.S. - pre-veterinary medicine,AN S 429
2326,Animal Science- B.S. - pre-veterinary medicine,AN S 434
2327,Animal Science- B.S. - pre-veterinary medicine,AN S 460
2328,Animal Science- B.S. - pre-veterinary medicine,FS HN 405
2329,Animal Science- B.S. - pre-veterinary medicine,FS HN 410
2330,Animal Science- B.S. - pre-veterinary medicine,FS HN 420
2331,Animal Science- B.S. - pre-veterinary medicine,MICRO 407
2332,Animal Science- B.S. - pre-veterinary medicine,BBMB 301
2333,Animal Science- B.S. - pre-veterinary medicine,BBMB 404
2334,Animal Science- B.S. - pre-veterinary medicine,BBMB 405
2335,Animal Science- B.S. - pre-veterinary medicine,BBMB 420
2336,Animal Science- B.S. - pre-veterinary medicine,BIOL 314
2337,Animal Science- B.S. - pre-veterinary medicine,BIOL 351
2338,Animal Science- B.S. - pre-veterinary medicine,BIOL 352
2339,Animal Science- B.S. - pre-veterinary medicine,BIOL 353
2340,Animal Science- B.S. - pre-veterinary medicine,BIOL 365
2341,Animal Science- B.S. - pre-veterinary medicine,BIOL 423
2342,Animal Science- B.S. - pre-veterinary medicine,BIOL 434
2343,Animal Science- B.S. - pre-veterinary medicine,CHEM 332
2344,Animal Science- B.S. - pre-veterinary medicine,MATH 166
2345,Animal Science- B.S. - pre-veterinary medicine,MICRO 475
2346,Animal Science- B.S. - pre-veterinary medicine,PHYS 111
2347,Animal Science- B.S. - pre-veterinary medicine,PHYS 112
2348,Animal Science- B.S. - pre-veterinary medicine,STAT 402
2349,Animal Science- B.S. - pre-veterinary medicine,STAT 587
2350,Animal Science- B.S. - pre-veterinary medicine,AN S 224
2351,Animal Science- B.S. - pre-veterinary medicine,AN S 324
2352,Animal Science- B.S. - pre-veterinary medicine,AN S 424
2353,Animal Science- B.S. - pre-veterinary medicine,CHEM 331
2354,Animal Science- B.S. - pre-veterinary medicine,ACCT 215
2355,Animal Science- B.S. - pre-veterinary medicine,ACCT 285
2356,Animal Science- B.S. - pre-veterinary medicine,ECON 234
2357,Animal Science- B.S. - pre-veterinary medicine,AN S 216
2358,Animal Science- B.S. - pre-veterinary medicine,AN S 223
2359,Animal Science- B.S. - pre-veterinary medicine,AN S 225
2360,Animal Science- B.S. - pre-veterinary medicine,AN S 226
2361,Animal Science- B.S. - pre-veterinary medicine,AN S 229
2362,Animal Science- B.S. - pre-veterinary medicine,AN S 235
2363,Animal Science- B.S. - pre-veterinary medicine,AN S 313
2364,Animal Science- B.S. - pre-veterinary medicine,AN S 336
2365,Animal Science- B.S. - pre-veterinary medicine,AN S 337
2366,Animal Science- B.S. - pre-veterinary medicine,AN S 345
2367,Animal Science- B.S. - pre-veterinary medicine,AN S 360
2368,Animal Science- B.S. - pre-veterinary medicine,BIOL 314
2369,Animal Science- B.S. - pre-veterinary medicine,BIOL 352
2370,Animal Science- B.S. - pre-veterinary medicine,BIOL 353
2371,Animal Science- B.S. - pre-veterinary medicine,ENT 374
2372,Animal Science- B.S. - pre-veterinary medicine,MICRO 310
2373,Animal Science- B.S. - pre-veterinary medicine,AN S 415
2374,Animal Science- B.S. - pre-veterinary medicine,AN S 419
2375,Animal Science- B.S. - pre-veterinary medicine,AN S 425
2376,Animal Science- B.S. - pre-veterinary medicine,AN S 426
2377,Animal Science- B.S. - pre-veterinary medicine,AN S 429
2378,Animal Science- B.S. - pre-veterinary medicine,AN S 434
2379,Animal Science- B.S. - pre-veterinary medicine,AN S 460
2380,Animal Science- B.S. - pre-veterinary medicine,FS HN 405
2381,Animal Science- B.S. - pre-veterinary medicine,FS HN 410
2382,Animal Science- B.S. - pre-veterinary medicine,FS HN 420
2383,Animal Science- B.S. - pre-veterinary medicine,MICRO 407
2384,Animal Science- B.S. - pre-veterinary medicine,AN S 216
2385,Animal Science- B.S. - pre-veterinary medicine,AN S 415
2386,Animal Science- B.S. - pre-veterinary medicine,CHEM 331
2387,Animal Science- B.S. - pre-veterinary medicine,AN S 116
2388,Animal Science- B.S. - pre-veterinary medicine,AN S 217
2389,Animal Science- B.S. - pre-veterinary medicine,AN S 306
2390,Animal Science- B.S. - pre-veterinary medicine,AN S 313
2391,Animal Science- B.S. - pre-veterinary medicine,AN S 332
2392,Animal Science- B.S. - pre-veterinary medicine,AN S 399A
2393,Animal Science- B.S. - pre-veterinary medicine,AN S 475E
2394,Animal Science- B.S. - pre-veterinary medicine,AN S 490E
2395,Animal Science- B.S. - pre-veterinary medicine,AN S 493
2396,Animal Science- B.S. - pre-veterinary medicine,AGEDS 451
2397,Animal Science- B.S. - pre-veterinary medicine,AGRON 217
2398,Animal Science- B.S. - pre-veterinary medicine,AGRON 317
2399,Animal Science- B.S. - pre-veterinary medicine,AGRON 334
2400,Animal Science- B.S. - pre-veterinary medicine,AN S 116
2401,Animal Science- B.S. - pre-veterinary medicine,AN S 217
2402,Animal Science- B.S. - pre-veterinary medicine,AN S 306
2403,Animal Science- B.S. - pre-veterinary medicine,AN S 313
2404,Animal Science- B.S. - pre-veterinary medicine,AN S 332
2405,Animal Science- B.S. - pre-veterinary medicine,AN S 399A
2406,Animal Science- B.S. - pre-veterinary medicine,AN S 490E
2407,Animal Science- B.S. - pre-veterinary medicine,AN S 493
2408,Animal Science- B.S. - pre-veterinary medicine,AN S 475E
2409,Animal Science- B.S. - pre-veterinary medicine,AN S 490E
2410,Animal Science- B.S. - pre-veterinary medicine,ECON 234
2411,Animal Science- B.S. - pre-veterinary medicine,AN S 223
2412,Animal Science- B.S. - pre-veterinary medicine,AN S 224
2413,Animal Science- B.S. - pre-veterinary medicine,AN S 225
2414,Animal Science- B.S. - pre-veterinary medicine,AN S 226
2415,Animal Science- B.S. - pre-veterinary medicine,AN S 229
2416,Animal Science- B.S. - pre-veterinary medicine,AN S 235
2417,Animal Science- B.S. - pre-veterinary medicine,AN S 419
2418,Animal Science- B.S. - pre-veterinary medicine,AN S 424
2419,Animal Science- B.S. - pre-veterinary medicine,AN S 425
2420,Animal Science- B.S. - pre-veterinary medicine,AN S 426
2421,Animal Science- B.S. - pre-veterinary medicine,AN S 429
2422,Animal Science- B.S. - pre-veterinary medicine,AN S 434
2423,Animal Science- B.S. - pre-veterinary medicine,AN S 460
2424,Animal Science- B.S. - pre-veterinary medicine,FS HN 405
2425,Animal Science- B.S. - pre-veterinary medicine,FS HN 410
2426,Animal Science- B.S. - pre-veterinary medicine,FS HN 420
2427,Animal Science- B.S. - pre-veterinary medicine,MICRO 407
2428,Animal Science- B.S. - pre-veterinary medicine,AN S 101
2429,Animal Science- B.S. - pre-veterinary medicine,AN S 114
2430,Animal Science- B.S. - pre-veterinary medicine,AN S 214
2431,Animal Science- B.S. - pre-veterinary medicine,AN S 216
2432,Animal Science- B.S. - pre-veterinary medicine,AN S 223
2433,Animal Science- B.S. - pre-veterinary medicine,AN S 224
2434,Animal Science- B.S. - pre-veterinary medicine,AN S 225
2435,Animal Science- B.S. - pre-veterinary medicine,AN S 226
2436,Animal Science- B.S. - pre-veterinary medicine,AN S 229
2437,Animal Science- B.S. - pre-veterinary medicine,AN S 235
2438,Animal Science- B.S. - pre-veterinary medicine,AN S 313
2439,Animal Science- B.S. - pre-veterinary medicine,AN S 319
2440,Animal Science- B.S. - pre-veterinary medicine,AN S 331
2441,Animal Science- B.S. - pre-veterinary medicine,AN S 345
2442,Animal Science- B.S. - pre-veterinary medicine,AN S 352
2443,Animal Science- B.S. - pre-veterinary medicine,AN S 319
2444,Animal Science- B.S. - pre-veterinary medicine,AN S 320
2445,Animal Science- B.S. - pre-veterinary medicine,AN S 331
2446,Animal Science- B.S. - pre-veterinary medicine,AN S 324
2447,Animal Science- B.S. - pre-veterinary medicine,AN S 336
2448,Animal Science- B.S. - pre-veterinary medicine,AN S 337
2449,Animal Science- B.S. - pre-veterinary medicine,AN S 345
2450,Animal Science- B.S. - pre-veterinary medicine,AN S 352
2451,Animal Science- B.S. - pre-veterinary medicine,AN S 360
2452,Animal Science- B.S. - pre-veterinary medicine,AN S 419
2453,Animal Science- B.S. - pre-veterinary medicine,AN S 270
2454,Animal Science- B.S. - pre-veterinary medicine,AN S 360
2455,Animal Science- B.S. - pre-veterinary medicine,AN S 460
2456,Animal Science- B.S. - pre-veterinary medicine,AN S 489
2457,Animal Science- B.S. - pre-veterinary medicine,AN S 490C
2458,Animal Science- B.S. - pre-veterinary medicine,FS HN 311
2459,Animal Science- B.S. - pre-veterinary medicine,FS HN 403
2460,Animal Science- B.S. - pre-veterinary medicine,FS HN 405
2461,Animal Science- B.S. - pre-veterinary medicine,FS HN 406
2462,Animal Science- B.S. - pre-veterinary medicine,FS HN 410
2463,Animal Science- B.S. - pre-veterinary medicine,FS HN 412
2464,Animal Science- B.S. - pre-veterinary medicine,FS HN 419
2465,Animal Science- B.S. - pre-veterinary medicine,FS HN 420
2466,Animal Science- B.S. - pre-veterinary medicine,FS HN 471
2467,Animal Science- B.S. - pre-veterinary medicine,MICRO 407
2468,Animal Science- B.S. - pre-veterinary medicine,AN S 110
2469,Animal Science- B.S. - pre-veterinary medicine,AN S 114
2470,Animal Science- B.S. - pre-veterinary medicine,AN S 101
2471,Animal Science- B.S. - pre-veterinary medicine,BIOL 211
2472,Animal Science- B.S. - pre-veterinary medicine,ENGL 150
2473,Animal Science- B.S. - pre-veterinary medicine,LIB 160
2474,Animal Science- B.S. - pre-veterinary medicine,AN S 211
2475,Animal Science- B.S. - pre-veterinary medicine,AN S 210
2476,Animal Science- B.S. - pre-veterinary medicine,AN S 214
2477,Animal Science- B.S. - pre-veterinary medicine,BIOL 212
2478,Animal Science- B.S. - pre-veterinary medicine,BBMB 221
2479,Animal Science- B.S. - pre-veterinary medicine,AN S 319
2480,Animal Science- B.S. - pre-veterinary medicine,AN S 320
2481,Animal Science- B.S. - pre-veterinary medicine,AN S 331
2482,Animal Science- B.S. - pre-veterinary medicine,AN S 352
2483,Animal Science- B.S. - pre-veterinary medicine,AN S 411
2484,Animal Science- B.S. - pre-veterinary medicine,AN S 110
2485,Animal Science- B.S. - pre-veterinary medicine,AN S 114
2486,Animal Science- B.S. - pre-veterinary medicine,AN S 101
2487,Animal Science- B.S. - pre-veterinary medicine,CHEM 177
2488,Animal Science- B.S. - pre-veterinary medicine,BIOL 211
2489,Animal Science- B.S. - pre-veterinary medicine,ENGL 150
2490,Animal Science- B.S. - pre-veterinary medicine,LIB 160
2491,Animal Science- B.S. - pre-veterinary medicine,AN S 211
2492,Animal Science- B.S. - pre-veterinary medicine,AN S 214
2493,Animal Science- B.S. - pre-veterinary medicine,BIOL 212
2494,Animal Science- B.S. - pre-veterinary medicine,CHEM 331
2495,Animal Science- B.S. - pre-veterinary medicine,CHEM 178
2496,Animal Science- B.S. - pre-veterinary medicine,ENGL 250
2497,Animal Science- B.S. - pre-veterinary medicine,AN S 210
2498,Animal Science- B.S. - pre-veterinary medicine,AN S 320
2499,Animal Science- B.S. - pre-veterinary medicine,AN S 319
2500,Animal Science- B.S. - pre-veterinary medicine,AN S 352
2501,Animal Science- B.S. - pre-veterinary medicine,AN S 331
2502,Animal Science- B.S. - pre-veterinary medicine,BBMB 301
2503,Animal Science- B.S. - pre-veterinary medicine,CHEM 332
2504,Animal Science- B.S. - pre-veterinary medicine,AN S 411
2505,Animal Science- B.S. - pre-veterinary medicine,PHYS 111
2506,Biology- B.S.,BIOL 211
2507,Biology- B.S.,BIOL 212
2508,Biology- B.S.,BIOL 211
2509,Biology- B.S.,BIOL 212
2510,Biology- B.S.,BIOL 110
2511,Biology- B.S.,BIOL 111
2512,Biology- B.S.,BIOL 211
2513,Biology- B.S.,BIOL 212
2514,Biology- B.S.,BIOL 312
2515,Biology- B.S.,BIOL 313
2516,Biology- B.S.,BIOL 314
2517,Biology- B.S.,BIOL 315
2518,Biology- B.S.,MATH 165
2519,Biology- B.S.,BBMB 316
2520,Biology- B.S.,BBMB 404
2521,Biology- B.S.,BBMB 420
2522,Biology- B.S.,PHYS 111
2523,Biology- B.S.,ENGL 150
2524,Biology- B.S.,ENGL 250
2525,Biology- B.S.,LIB 160
2526,Biology- B.S.,SP CM 212
2527,Biology- B.S.,BIOL 111
2528,Biology- B.S.,LIB 160
2529,Biology- B.S.,BIOL 212
2530,Biology- B.S.,BIOL 110
2531,Biology- B.S.,BIOL 211
2532,Biology- B.S.,BIOL 313
2533,Biology- B.S.,BIOL 312
2534,Biology- B.S.,SP CM 212
2535,Biology- B.S.,BIOL 314
2536,Biology- B.S.,BIOL 315
2537,Culinary Science- B.S.,ENGL 150
2538,Culinary Science- B.S.,ENGL 250
2539,Culinary Science- B.S.,LIB 160
2540,Culinary Science- B.S.,SP CM 212
2541,Culinary Science- B.S.,ECON 101
2542,Culinary Science- B.S.,FS HN 342
2543,Culinary Science- B.S.,ENV S 120
2544,Culinary Science- B.S.,ENV S 201
2545,Culinary Science- B.S.,MATH 140
2546,Culinary Science- B.S.,MATH 143
2547,Culinary Science- B.S.,MATH 160
2548,Culinary Science- B.S.,MATH 165
2549,Culinary Science- B.S.,MATH 181
2550,Culinary Science- B.S.,STAT 101
2551,Culinary Science- B.S.,STAT 104
2552,Culinary Science- B.S.,CHEM 163
2553,Culinary Science- B.S.,CHEM 231
2554,Culinary Science- B.S.,BBMB 301
2555,Culinary Science- B.S.,BIOL 211
2556,Culinary Science- B.S.,BIOL 212
2557,Culinary Science- B.S.,MICRO 201
2558,Culinary Science- B.S.,AN S 270
2559,Culinary Science- B.S.,AN S 460
2560,Culinary Science- B.S.,FS HN 101
2561,Culinary Science- B.S.,FS HN 104
2562,Culinary Science- B.S.,FS HN 110
2563,Culinary Science- B.S.,FS HN 167
2564,Culinary Science- B.S.,FS HN 203
2565,Culinary Science- B.S.,FS HN 214
2566,Culinary Science- B.S.,FS HN 215
2567,Culinary Science- B.S.,FS HN 265
2568,Culinary Science- B.S.,FS HN 311
2569,Culinary Science- B.S.,FS HN 314
2570,Culinary Science- B.S.,FS HN 403
2571,Culinary Science- B.S.,FS HN 405
2572,Culinary Science- B.S.,FS HN 406
2573,Culinary Science- B.S.,FS HN 407
2574,Culinary Science- B.S.,FS HN 411
2575,Culinary Science- B.S.,FS HN 412
2576,Culinary Science- B.S.,FS HN 420
2577,Culinary Science- B.S.,FS HN 480
2578,Culinary Science- B.S.,FS HN 491B
2579,Culinary Science- B.S.,HSP M 233
2580,Culinary Science- B.S.,HSP M 380
2581,Culinary Science- B.S.,HSP M 383
2582,Culinary Science- B.S.,HSP M 487
2583,Culinary Science- B.S.,FS HN 110
2584,Culinary Science- B.S.,FS HN 101
2585,Culinary Science- B.S.,FS HN 104
2586,Culinary Science- B.S.,BIOL 211
2587,Culinary Science- B.S.,BIOL 212
2588,Culinary Science- B.S.,ECON 101
2589,Culinary Science- B.S.,ENGL 150
2590,Culinary Science- B.S.,LIB 160
2591,Culinary Science- B.S.,CHEM 231
2592,Culinary Science- B.S.,FS HN 265
2593,Culinary Science- B.S.,ENGL 250
2594,Culinary Science- B.S.,FS HN 203
2595,Culinary Science- B.S.,HSP M 233
2596,Culinary Science- B.S.,FS HN 214
2597,Culinary Science- B.S.,SP CM 212
2598,Culinary Science- B.S.,FS HN 215
2599,Culinary Science- B.S.,AN S 270
2600,Culinary Science- B.S.,FS HN 314
2601,Culinary Science- B.S.,FS HN 311
2602,Culinary Science- B.S.,FS HN 403
2603,Culinary Science- B.S.,FS HN 411
2604,Culinary Science- B.S.,HSP M 380
2605,Culinary Science- B.S.,FS HN 420
2606,Culinary Science- B.S.,FS HN 406
2607,Culinary Science- B.S.,AN S 460
2608,Culinary Science- B.S.,FS HN 405
2609,Culinary Science- B.S.,HSP M 383
2610,Culinary Science- B.S.,FS HN 407
2611,Culinary Science- B.S.,HSP M 487
2612,Culinary Science- B.S.,FS HN 412
2613,Dairy Science- B.S. - general,ENGL 150
2614,Dairy Science- B.S. - general,ENGL 250
2615,Dairy Science- B.S. - general,LIB 160
2616,Dairy Science- B.S. - general,AGEDS 311
2617,Dairy Science- B.S. - general,COMST 214
2618,Dairy Science- B.S. - general,SP CM 212
2619,Dairy Science- B.S. - general,ECON 101
2620,Dairy Science- B.S. - general,ECON 102
2621,Dairy Science- B.S. - general,ACCT 284
2622,Dairy Science- B.S. - general,STAT 101
2623,Dairy Science- B.S. - general,STAT 104
2624,Dairy Science- B.S. - general,STAT 226
2625,Dairy Science- B.S. - general,MATH 140
2626,Dairy Science- B.S. - general,MATH 150
2627,Dairy Science- B.S. - general,MATH 160
2628,Dairy Science- B.S. - general,MATH 165
2629,Dairy Science- B.S. - general,MATH 181
2630,Dairy Science- B.S. - general,BIOL 211
2631,Dairy Science- B.S. - general,BIOL 212
2632,Dairy Science- B.S. - general,BIOL 313
2633,Dairy Science- B.S. - general,AN S 101
2634,Dairy Science- B.S. - general,AN S 110
2635,Dairy Science- B.S. - general,AN S 114
2636,Dairy Science- B.S. - general,AN S 210
2637,Dairy Science- B.S. - general,AN S 211
2638,Dairy Science- B.S. - general,AN S 214
2639,Dairy Science- B.S. - general,AN S 235
2640,Dairy Science- B.S. - general,AN S 319
2641,Dairy Science- B.S. - general,AN S 320
2642,Dairy Science- B.S. - general,AN S 331
2643,Dairy Science- B.S. - general,AN S 337
2644,Dairy Science- B.S. - general,AN S 352
2645,Dairy Science- B.S. - general,AN S 411
2646,Dairy Science- B.S. - general,AN S 434
2647,Dairy Science- B.S. - general,AN S 435
2648,Dairy Science- B.S. - general,CHEM 331
2649,Dairy Science- B.S. - general,AGRON 334
2650,Dairy Science- B.S. - general,AN S 332
2651,Dairy Science- B.S. - general,AN S 336
2652,Dairy Science- B.S. - general,AN S 345
2653,Dairy Science- B.S. - general,AN S 360
2654,Dairy Science- B.S. - general,AN S 415
2655,Dairy Science- B.S. - general,AN S 419
2656,Dairy Science- B.S. - general,AN S 424
2657,Dairy Science- B.S. - general,AN S 425
2658,Dairy Science- B.S. - general,AN S 426
2659,Dairy Science- B.S. - general,AN S 429
2660,Dairy Science- B.S. - general,AN S 460
2661,Dairy Science- B.S. - general,ECON 332
2662,Dairy Science- B.S. - general,ECON 336
2663,Dairy Science- B.S. - general,FS HN 308
2664,Dairy Science- B.S. - general,FS HN 403
2665,Dairy Science- B.S. - general,FS HN 405
2666,Dairy Science- B.S. - general,FS HN 410
2667,Dairy Science- B.S. - general,MICRO 310
2668,Dairy Science- B.S. - general,MICRO 353
2669,Dairy Science- B.S. - general,MICRO 374
2670,Dairy Science- B.S. - general,MICRO 402
2671,Dairy Science- B.S. - general,MICRO 407
2672,Dairy Science- B.S. - general,MICRO 419
2673,Dairy Science- B.S. - general,MICRO 419
2674,Dairy Science- B.S. - general,FS HN 420
2675,Dairy Science- B.S. - general,MICRO 420
2676,Dairy Science- B.S. - general,MICRO 475
2677,Dairy Science- B.S. - general,VDPAM 487
2678,Dairy Science- B.S. - general,AN S 101
2679,Dairy Science- B.S. - general,AN S 110
2680,Dairy Science- B.S. - general,AN S 114
2681,Dairy Science- B.S. - general,AN S 210
2682,Dairy Science- B.S. - general,AN S 211
2683,Dairy Science- B.S. - general,AN S 214
2684,Dairy Science- B.S. - general,AN S 235
2685,Dairy Science- B.S. - general,AN S 319
2686,Dairy Science- B.S. - general,AN S 320
2687,Dairy Science- B.S. - general,AN S 331
2688,Dairy Science- B.S. - general,AN S 337
2689,Dairy Science- B.S. - general,AN S 352
2690,Dairy Science- B.S. - general,AN S 411
2691,Dairy Science- B.S. - general,AN S 434
2692,Dairy Science- B.S. - general,AN S 435
2693,Dairy Science- B.S. - general,CHEM 177
2694,Dairy Science- B.S. - general,CHEM 178
2695,Dairy Science- B.S. - general,CHEM 331
2696,Dairy Science- B.S. - general,CHEM 332
2697,Dairy Science- B.S. - general,BBMB 301
2698,Dairy Science- B.S. - general,PHYS 111
2699,Dairy Science- B.S. - general,AGRON 334
2700,Dairy Science- B.S. - general,AN S 332
2701,Dairy Science- B.S. - general,AN S 336
2702,Dairy Science- B.S. - general,AN S 345
2703,Dairy Science- B.S. - general,AN S 360
2704,Dairy Science- B.S. - general,AN S 415
2705,Dairy Science- B.S. - general,AN S 419
2706,Dairy Science- B.S. - general,AN S 424
2707,Dairy Science- B.S. - general,AN S 425
2708,Dairy Science- B.S. - general,AN S 426
2709,Dairy Science- B.S. - general,AN S 429
2710,Dairy Science- B.S. - general,AN S 460
2711,Dairy Science- B.S. - general,ECON 332
2712,Dairy Science- B.S. - general,ECON 336
2713,Dairy Science- B.S. - general,FS HN 308
2714,Dairy Science- B.S. - general,FS HN 403
2715,Dairy Science- B.S. - general,FS HN 405
2716,Dairy Science- B.S. - general,FS HN 410
2717,Dairy Science- B.S. - general,MICRO 310
2718,Dairy Science- B.S. - general,MICRO 353
2719,Dairy Science- B.S. - general,MICRO 374
2720,Dairy Science- B.S. - general,MICRO 402
2721,Dairy Science- B.S. - general,MICRO 407
2722,Dairy Science- B.S. - general,MICRO 419
2723,Dairy Science- B.S. - general,MICRO 421
2724,Dairy Science- B.S. - general,AN S 110
2725,Dairy Science- B.S. - general,AN S 114
2726,Dairy Science- B.S. - general,AN S 101
2727,Dairy Science- B.S. - general,BIOL 211
2728,Dairy Science- B.S. - general,ENGL 150
2729,Dairy Science- B.S. - general,LIB 160
2730,Dairy Science- B.S. - general,AN S 211
2731,Dairy Science- B.S. - general,AN S 210
2732,Dairy Science- B.S. - general,AN S 235
2733,Dairy Science- B.S. - general,AN S 270 
2734,Dairy Science- B.S. - general,BIOL 212
2735,Dairy Science- B.S. - general,AN S 214
2736,Dairy Science- B.S. - general,BBMB 221
2737,Dairy Science- B.S. - general,ENGL 250
2738,Dairy Science- B.S. - general,ECON 101
2739,Dairy Science- B.S. - general,AN S 319
2740,Dairy Science- B.S. - general,AN S 320
2741,Dairy Science- B.S. - general,AN S 331
2742,Dairy Science- B.S. - general,AN S 352
2743,Dairy Science- B.S. - general,AN S 337
2744,Dairy Science- B.S. - general,AN S 411
2745,Dairy Science- B.S. - general,AN S 435
2746,Dairy Science- B.S. - general,AN S 434
2747,Dairy Science- B.S. - general,AN S 110
2748,Dairy Science- B.S. - general,AN S 114
2749,Dairy Science- B.S. - general,AN S 101
2750,Dairy Science- B.S. - general,CHEM 177
2751,Dairy Science- B.S. - general,BIOL 211
2752,Dairy Science- B.S. - general,ENGL 150
2753,Dairy Science- B.S. - general,LIB 160
2754,Dairy Science- B.S. - general,AN S 211
2755,Dairy Science- B.S. - general,AN S 210
2756,Dairy Science- B.S. - general,AN S 235
2757,Dairy Science- B.S. - general,AN S 270 
2758,Dairy Science- B.S. - general,BIOL 212
2759,Dairy Science- B.S. - general,AN S 214
2760,Dairy Science- B.S. - general,CHEM 178
2761,Dairy Science- B.S. - general,CHEM 331
2762,Dairy Science- B.S. - general,ECON 101
2763,Dairy Science- B.S. - general,AN S 319
2764,Dairy Science- B.S. - general,AN S 320
2765,Dairy Science- B.S. - general,AN S 331
2766,Dairy Science- B.S. - general,AN S 352
2767,Dairy Science- B.S. - general,AN S 337
2768,Dairy Science- B.S. - general,CHEM 332
2769,Dairy Science- B.S. - general,BBMB 301
2770,Dairy Science- B.S. - general,AN S 411
2771,Dairy Science- B.S. - general,AN S 435
2772,Dairy Science- B.S. - general,AN S 434
2773,Dairy Science- B.S. - general,PHYS 111
2774,Dairy Science- B.S. - pre-veterinary medicine option,ENGL 150
2775,Dairy Science- B.S. - pre-veterinary medicine option,ENGL 250
2776,Dairy Science- B.S. - pre-veterinary medicine option,LIB 160
2777,Dairy Science- B.S. - pre-veterinary medicine option,AGEDS 311
2778,Dairy Science- B.S. - pre-veterinary medicine option,COMST 214
2779,Dairy Science- B.S. - pre-veterinary medicine option,SP CM 212
2780,Dairy Science- B.S. - pre-veterinary medicine option,ECON 101
2781,Dairy Science- B.S. - pre-veterinary medicine option,ECON 102
2782,Dairy Science- B.S. - pre-veterinary medicine option,ACCT 284
2783,Dairy Science- B.S. - pre-veterinary medicine option,STAT 101
2784,Dairy Science- B.S. - pre-veterinary medicine option,STAT 104
2785,Dairy Science- B.S. - pre-veterinary medicine option,STAT 226
2786,Dairy Science- B.S. - pre-veterinary medicine option,MATH 140
2787,Dairy Science- B.S. - pre-veterinary medicine option,MATH 150
2788,Dairy Science- B.S. - pre-veterinary medicine option,MATH 160
2789,Dairy Science- B.S. - pre-veterinary medicine option,MATH 165
2790,Dairy Science- B.S. - pre-veterinary medicine option,MATH 181
2791,Dairy Science- B.S. - pre-veterinary medicine option,BIOL 211
2792,Dairy Science- B.S. - pre-veterinary medicine option,BIOL 212
2793,Dairy Science- B.S. - pre-veterinary medicine option,BIOL 313
2794,Dairy Science- B.S. - pre-veterinary medicine option,AN S 101
2795,Dairy Science- B.S. - pre-veterinary medicine option,AN S 110
2796,Dairy Science- B.S. - pre-veterinary medicine option,AN S 114
2797,Dairy Science- B.S. - pre-veterinary medicine option,AN S 210
2798,Dairy Science- B.S. - pre-veterinary medicine option,AN S 211
2799,Dairy Science- B.S. - pre-veterinary medicine option,AN S 214
2800,Dairy Science- B.S. - pre-veterinary medicine option,AN S 235
2801,Dairy Science- B.S. - pre-veterinary medicine option,AN S 319
2802,Dairy Science- B.S. - pre-veterinary medicine option,AN S 320
2803,Dairy Science- B.S. - pre-veterinary medicine option,AN S 331
2804,Dairy Science- B.S. - pre-veterinary medicine option,AN S 337
2805,Dairy Science- B.S. - pre-veterinary medicine option,AN S 352
2806,Dairy Science- B.S. - pre-veterinary medicine option,AN S 411
2807,Dairy Science- B.S. - pre-veterinary medicine option,AN S 434
2808,Dairy Science- B.S. - pre-veterinary medicine option,AN S 435
2809,Dairy Science- B.S. - pre-veterinary medicine option,CHEM 331
2810,Dairy Science- B.S. - pre-veterinary medicine option,AGRON 334
2811,Dairy Science- B.S. - pre-veterinary medicine option,AN S 332
2812,Dairy Science- B.S. - pre-veterinary medicine option,AN S 336
2813,Dairy Science- B.S. - pre-veterinary medicine option,AN S 345
2814,Dairy Science- B.S. - pre-veterinary medicine option,AN S 360
2815,Dairy Science- B.S. - pre-veterinary medicine option,AN S 415
2816,Dairy Science- B.S. - pre-veterinary medicine option,AN S 419
2817,Dairy Science- B.S. - pre-veterinary medicine option,AN S 424
2818,Dairy Science- B.S. - pre-veterinary medicine option,AN S 425
2819,Dairy Science- B.S. - pre-veterinary medicine option,AN S 426
2820,Dairy Science- B.S. - pre-veterinary medicine option,AN S 429
2821,Dairy Science- B.S. - pre-veterinary medicine option,AN S 460
2822,Dairy Science- B.S. - pre-veterinary medicine option,ECON 332
2823,Dairy Science- B.S. - pre-veterinary medicine option,ECON 336
2824,Dairy Science- B.S. - pre-veterinary medicine option,FS HN 308
2825,Dairy Science- B.S. - pre-veterinary medicine option,FS HN 403
2826,Dairy Science- B.S. - pre-veterinary medicine option,FS HN 405
2827,Dairy Science- B.S. - pre-veterinary medicine option,FS HN 410
2828,Dairy Science- B.S. - pre-veterinary medicine option,MICRO 310
2829,Dairy Science- B.S. - pre-veterinary medicine option,MICRO 353
